call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141115367, 1768141115366, 1768141120561, 1, 5195, 5194
call#1, 1768141115371, 1768141115366, 1768141121569, 5, 6203, 6198
call#2, 1768141115371, 1768141115366, 1768141122577, 5, 7211, 7206
call#3, 1768141115371, 1768141115366, 1768141123583, 5, 8217, 8212
call#4, 1768141115371, 1768141115366, 1768141124589, 5, 9223, 9218
call#5, 1768141115371, 1768141115366, 1768141125594, 5, 10228, 10223
call#6, 1768141115371, 1768141115366, 1768141126600, 5, 11234, 11229
call#7, 1768141115371, 1768141115366, 1768141127605, 5, 12239, 12234
call#8, 1768141115371, 1768141115366, 1768141128611, 5, 13245, 13240
call#9, 1768141115371, 1768141115366, 1768141129616, 5, 14250, 14245
call#10, 1768141115371, 1768141115366, 1768141130620, 5, 15254, 15249
call#11, 1768141115371, 1768141115366, 1768141131626, 5, 16260, 16255
call#12, 1768141115371, 1768141115366, 1768141132631, 5, 17265, 17260
call#13, 1768141115371, 1768141115366, 1768141133637, 5, 18271, 18266
call#14, 1768141115371, 1768141115366, 1768141134641, 5, 19275, 19270
call#15, 1768141115371, 1768141115366, 1768141135648, 5, 20282, 20277
call#16, 1768141115371, 1768141115366, 1768141135648, 5, 20282, 20277
call#17, 1768141115371, 1768141115366, 1768141135649, 5, 20283, 20278
call#18, 1768141115371, 1768141115366, 1768141135649, 5, 20283, 20278
call#19, 1768141115371, 1768141115366, 1768141135649, 5, 20283, 20278
