call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141195988, 1768141195988, 1768141196997, 0, 1009, 1009
call#1, 1768141195988, 1768141195988, 1768141196997, 0, 1009, 1009
call#2, 1768141195989, 1768141195988, 1768141196998, 1, 1010, 1009
call#3, 1768141195989, 1768141195988, 1768141196997, 1, 1009, 1008
call#4, 1768141195989, 1768141195988, 1768141196998, 1, 1010, 1009
call#5, 1768141195989, 1768141195988, 1768141198003, 1, 2015, 2014
call#6, 1768141195989, 1768141195988, 1768141198003, 1, 2015, 2014
call#7, 1768141195989, 1768141195988, 1768141198003, 1, 2015, 2014
call#8, 1768141195989, 1768141195988, 1768141198003, 1, 2015, 2014
call#9, 1768141195989, 1768141195988, 1768141198003, 1, 2015, 2014
call#10, 1768141195989, 1768141195988, 1768141199008, 1, 3020, 3019
call#11, 1768141195989, 1768141195988, 1768141199008, 1, 3020, 3019
call#12, 1768141195989, 1768141195988, 1768141199008, 1, 3020, 3019
call#13, 1768141195989, 1768141195988, 1768141199008, 1, 3020, 3019
call#14, 1768141195989, 1768141195988, 1768141199008, 1, 3020, 3019
call#15, 1768141195989, 1768141195988, 1768141200012, 1, 4024, 4023
call#16, 1768141195989, 1768141195988, 1768141200012, 1, 4024, 4023
call#17, 1768141195989, 1768141195988, 1768141200012, 1, 4024, 4023
call#18, 1768141195989, 1768141195988, 1768141200013, 1, 4025, 4024
call#19, 1768141195989, 1768141195988, 1768141200012, 1, 4024, 4023
