call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141175893, 1768141175893, 1768141176900, 0, 1007, 1007
call#1, 1768141175893, 1768141175893, 1768141177904, 0, 2011, 2011
call#2, 1768141175893, 1768141175893, 1768141178911, 0, 3018, 3018
call#3, 1768141175893, 1768141175893, 1768141179915, 0, 4022, 4022
call#4, 1768141175893, 1768141175893, 1768141180919, 0, 5026, 5026
call#5, 1768141175894, 1768141175893, 1768141181924, 1, 6031, 6030
call#6, 1768141175894, 1768141175893, 1768141182927, 1, 7034, 7033
call#7, 1768141175894, 1768141175893, 1768141183932, 1, 8039, 8038
call#8, 1768141175894, 1768141175893, 1768141184937, 1, 9044, 9043
call#9, 1768141175894, 1768141175893, 1768141185942, 1, 10049, 10048
call#10, 1768141175894, 1768141175893, 1768141186947, 1, 11054, 11053
call#11, 1768141175894, 1768141175893, 1768141187953, 1, 12060, 12059
call#12, 1768141175894, 1768141175893, 1768141188957, 1, 13064, 13063
call#13, 1768141175894, 1768141175893, 1768141189963, 1, 14070, 14069
call#14, 1768141175894, 1768141175893, 1768141190968, 1, 15075, 15074
call#15, 1768141175894, 1768141175893, 1768141191972, 1, 16079, 16078
call#16, 1768141175894, 1768141175893, 1768141192976, 1, 17083, 17082
call#17, 1768141175894, 1768141175893, 1768141193980, 1, 18087, 18086
call#18, 1768141175894, 1768141175893, 1768141194984, 1, 19091, 19090
call#19, 1768141175894, 1768141175893, 1768141195988, 1, 20095, 20094
