call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141135657, 1768141135657, 1768141136683, 0, 1026, 1026
call#1, 1768141135658, 1768141135657, 1768141137690, 1, 2033, 2032
call#2, 1768141135658, 1768141135657, 1768141138695, 1, 3038, 3037
call#3, 1768141135658, 1768141135657, 1768141139700, 1, 4043, 4042
call#4, 1768141135658, 1768141135657, 1768141140706, 1, 5049, 5048
call#5, 1768141135659, 1768141135657, 1768141141710, 2, 6053, 6051
call#6, 1768141135659, 1768141135657, 1768141142716, 2, 7059, 7057
call#7, 1768141135659, 1768141135657, 1768141143721, 2, 8064, 8062
call#8, 1768141135659, 1768141135657, 1768141144726, 2, 9069, 9067
call#9, 1768141135659, 1768141135657, 1768141145731, 2, 10074, 10072
call#10, 1768141135659, 1768141135657, 1768141146735, 2, 11078, 11076
call#11, 1768141135659, 1768141135657, 1768141147740, 2, 12083, 12081
call#12, 1768141135659, 1768141135657, 1768141148744, 2, 13087, 13085
call#13, 1768141135659, 1768141135657, 1768141149750, 2, 14093, 14091
call#14, 1768141135659, 1768141135657, 1768141150755, 2, 15098, 15096
call#15, 1768141135659, 1768141135657, 1768141151759, 2, 16102, 16100
call#16, 1768141135659, 1768141135657, 1768141152765, 2, 17108, 17106
call#17, 1768141135659, 1768141135657, 1768141153769, 2, 18112, 18110
call#18, 1768141135659, 1768141135657, 1768141154774, 2, 19117, 19115
call#19, 1768141135660, 1768141135657, 1768141155781, 3, 20124, 20121
