call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141200013, 1768141200013, 1768141201022, 0, 1009, 1009
call#1, 1768141200014, 1768141200013, 1768141201022, 1, 1009, 1008
call#2, 1768141200014, 1768141200013, 1768141201022, 1, 1009, 1008
call#3, 1768141200014, 1768141200013, 1768141201027, 1, 1014, 1013
call#4, 1768141200014, 1768141200013, 1768141201029, 1, 1016, 1015
call#5, 1768141200014, 1768141200013, 1768141201027, 1, 1014, 1013
call#6, 1768141200014, 1768141200013, 1768141201028, 1, 1015, 1014
call#7, 1768141200014, 1768141200013, 1768141201030, 1, 1017, 1016
call#8, 1768141200014, 1768141200013, 1768141201029, 1, 1016, 1015
call#9, 1768141200014, 1768141200013, 1768141201030, 1, 1017, 1016
call#10, 1768141200014, 1768141200013, 1768141202026, 1, 2013, 2012
call#11, 1768141200014, 1768141200013, 1768141202026, 1, 2013, 2012
call#12, 1768141200014, 1768141200013, 1768141202026, 1, 2013, 2012
call#13, 1768141200014, 1768141200013, 1768141202031, 1, 2018, 2017
call#14, 1768141200014, 1768141200013, 1768141202032, 1, 2019, 2018
call#15, 1768141200014, 1768141200013, 1768141202034, 1, 2021, 2020
call#16, 1768141200014, 1768141200013, 1768141202033, 1, 2020, 2019
call#17, 1768141200014, 1768141200013, 1768141202032, 1, 2019, 2018
call#18, 1768141200014, 1768141200013, 1768141202035, 1, 2022, 2021
call#19, 1768141200014, 1768141200013, 1768141202035, 1, 2022, 2021
