call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141202035, 1768141202035, 1768141203045, 0, 1010, 1010
call#1, 1768141202036, 1768141202035, 1768141204049, 1, 2014, 2013
call#2, 1768141202036, 1768141202035, 1768141205053, 1, 3018, 3017
call#3, 1768141202036, 1768141202035, 1768141206057, 1, 4022, 4021
call#4, 1768141202037, 1768141202035, 1768141207061, 2, 5026, 5024
call#5, 1768141202037, 1768141202035, 1768141208066, 2, 6031, 6029
call#6, 1768141202037, 1768141202035, 1768141211080, 2, 9045, 9043
call#7, 1768141202037, 1768141202035, 1768141209070, 2, 7035, 7033
call#8, 1768141202037, 1768141202035, 1768141210074, 2, 8039, 8037
call#9, 1768141202038, 1768141202035, 1768141212084, 3, 10049, 10046
call#10, 1768141202038, 1768141202035, 1768141213088, 3, 11053, 11050
call#11, 1768141202038, 1768141202035, 1768141214092, 3, 12057, 12054
call#12, 1768141202039, 1768141202035, 1768141215095, 4, 13060, 13056
call#13, 1768141202039, 1768141202035, 1768141216099, 4, 14064, 14060
call#14, 1768141202039, 1768141202035, 1768141217103, 4, 15068, 15064
call#15, 1768141202039, 1768141202035, 1768141218106, 4, 16071, 16067
call#16, 1768141202040, 1768141202035, 1768141219109, 5, 17074, 17069
call#17, 1768141202040, 1768141202035, 1768141221117, 5, 19082, 19077
call#18, 1768141202040, 1768141202035, 1768141220113, 5, 18078, 18073
call#19, 1768141202040, 1768141202035, 1768141222121, 5, 20086, 20081
