call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141242197, 1768141242197, 1768141243210, 0, 1013, 1013
call#1, 1768141242197, 1768141242197, 1768141243206, 0, 1009, 1009
call#2, 1768141242197, 1768141242197, 1768141243206, 0, 1009, 1009
call#3, 1768141242197, 1768141242197, 1768141243207, 0, 1010, 1010
call#4, 1768141242197, 1768141242197, 1768141243207, 0, 1010, 1010
call#5, 1768141242198, 1768141242197, 1768141244212, 1, 2015, 2014
call#6, 1768141242198, 1768141242197, 1768141244212, 1, 2015, 2014
call#7, 1768141242198, 1768141242197, 1768141244211, 1, 2014, 2013
call#8, 1768141242198, 1768141242197, 1768141244211, 1, 2014, 2013
call#9, 1768141242198, 1768141242197, 1768141245216, 1, 3019, 3018
call#10, 1768141242198, 1768141242197, 1768141244213, 1, 2016, 2015
call#11, 1768141242199, 1768141242197, 1768141245215, 2, 3018, 3016
call#12, 1768141242199, 1768141242197, 1768141245215, 2, 3018, 3016
call#13, 1768141242199, 1768141242197, 1768141245216, 2, 3019, 3017
call#14, 1768141242199, 1768141242197, 1768141245216, 2, 3019, 3017
call#15, 1768141242200, 1768141242197, 1768141246219, 3, 4022, 4019
call#16, 1768141242200, 1768141242197, 1768141246219, 3, 4022, 4019
call#17, 1768141242200, 1768141242197, 1768141246219, 3, 4022, 4019
call#18, 1768141242200, 1768141242197, 1768141246219, 3, 4022, 4019
call#19, 1768141242200, 1768141242197, 1768141246219, 3, 4022, 4019
