call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141155781, 1768141155781, 1768141165839, 0, 10058, 10058
call#1, 1768141155781, 1768141155781, 1768141166844, 0, 11063, 11063
call#2, 1768141155781, 1768141155781, 1768141167850, 0, 12069, 12069
call#3, 1768141155782, 1768141155781, 1768141168855, 1, 13074, 13073
call#4, 1768141155782, 1768141155781, 1768141169860, 1, 14079, 14078
call#5, 1768141155782, 1768141155781, 1768141170865, 1, 15084, 15083
call#6, 1768141155782, 1768141155781, 1768141171872, 1, 16091, 16090
call#7, 1768141155782, 1768141155781, 1768141172878, 1, 17097, 17096
call#8, 1768141155782, 1768141155781, 1768141173883, 1, 18102, 18101
call#9, 1768141155782, 1768141155781, 1768141174887, 1, 19106, 19105
call#10, 1768141155782, 1768141155781, 1768141175892, 1, 20111, 20110
call#11, 1768141155782, 1768141155781, 1768141175892, 1, 20111, 20110
call#12, 1768141155782, 1768141155781, 1768141175892, 1, 20111, 20110
call#13, 1768141155782, 1768141155781, 1768141175892, 1, 20111, 20110
call#14, 1768141155782, 1768141155781, 1768141175893, 1, 20112, 20111
call#15, 1768141155782, 1768141155781, 1768141175893, 1, 20112, 20111
call#16, 1768141155782, 1768141155781, 1768141175893, 1, 20112, 20111
call#17, 1768141155782, 1768141155781, 1768141175893, 1, 20112, 20111
call#18, 1768141155783, 1768141155781, 1768141175893, 2, 20112, 20110
call#19, 1768141155783, 1768141155781, 1768141175893, 2, 20112, 20110
